DMW,Cluster,Raw_Fraction,Residual,Z_Score,Coverage
dmw=19534,0,0.5563139931740614,-0.06930917101397571,-1.0477498207993474,4395
dmw=14733,0,0.2653061224489796,-0.06923086894103431,-1.4081170426100158,1911
dmw=18241,0,0.28363324764353043,-0.06749942560410072,-1.212414307297088,2334
dmw=4002,0,0.426990208599404,-0.06744730806835103,-1.320192424866162,4698
dmw=10435,0,0.19134641225477023,-0.06742256556244952,-1.0780994143972764,3721
dmw=11106,0,0.27178756014970595,-0.06697919280971432,-1.055573225326699,5611
dmw=1562,0,0.21726721369960755,-0.06686764320546745,-1.1330829378258056,2803
dmw=6526,0,0.5461105244632172,-0.06680614838734633,-0.8996917853148246,5682
dmw=9318,0,0.12496425507577924,-0.06677989910900112,-1.4912011882671117,3497
dmw=9781,0,0.30586127463527,-0.06632228762277581,-1.0947742282171056,3907
dmw=7517,0,0.41676718938480095,-0.06615233568345824,-1.0526328079880014,1658
dmw=21409,0,0.15739484396200815,-0.06608433716694162,-1.3324159643181541,1474
dmw=8230,0,0.47785714285714287,-0.06556742514000236,-0.8315031231851531,1400
dmw=21196,0,0.27773000859845226,-0.0648470296471671,-1.2987268356484682,1163
dmw=6004,0,0.4219056974459725,-0.0646595977400104,-0.843895746457191,2036
dmw=6398,0,0.17857142857142858,-0.06448696418010783,-1.22885432207343,840
dmw=4723,0,0.5934354485776805,-0.06368647888344414,-1.5006499829465194,2285
dmw=19545,0,0.324856439704676,-0.06326798486702917,-1.2345921792464127,1219
dmw=7286,0,0.15672235481304694,-0.06283631761068159,-0.9641112847612336,1257
dmw=6703,0,0.4953354064860062,-0.06255327712739628,-1.1340499505015282,2251
dmw=6182,0,0.43068127679847545,-0.06195907447160787,-0.9734484496417708,2099
dmw=10436,0,0.2747084100675261,-0.06109840133393135,-0.9033858101180933,3258
dmw=19736,0,0.4235463029432879,-0.05966207524732148,-1.3238823397224149,2786
dmw=19869,0,0.5016835016835017,-0.05963107239618415,-0.6390149564188169,3267
dmw=19618,0,0.47133891213389123,-0.05959370450423118,-1.1911301592703483,4780
dmw=19605,0,0.5544703230653644,-0.05939521235893608,-0.7871010098007681,5324
dmw=9076,0,0.4018483110261313,-0.059176629310994766,-0.7886823537570784,3138
dmw=11393,0,0.19415584415584416,-0.05916148029527604,-1.0488491706015184,4620
dmw=6748,0,0.4646501457725947,-0.059150817155557645,-0.567210973412806,2744
dmw=11987,0,0.5489638358390898,-0.058691939259407966,-1.1810311595150036,4922
dmw=19871,0,0.49087698646262506,-0.05799944252662087,-0.8576003370697985,3398
dmw=4066,0,0.32989690721649484,-0.05798941472219782,-1.0840035193169213,970
dmw=2728,0,0.5708955223880597,-0.05728094614589663,-0.7670659125514353,4288
dmw=10487,0,0.6644463600031345,-0.057270320870291935,-1.2814285642677725,12761
dmw=19615,0,0.5163622526636226,-0.056878014854508496,-1.0290616801271197,2628
dmw=19750,0,0.5020772746157042,-0.056820833332839826,-1.1990464655907176,4814
dmw=19964,0,0.24974515800203873,-0.05678854114767107,-1.0543046736153598,1962
dmw=14518,0,0.4517779483243796,-0.05607603115496401,-1.091189784069334,3909
dmw=19621,0,0.5591022443890274,-0.05532599295239071,-0.8789683254311156,14035
dmw=2810,0,0.506268081002893,-0.055051075803387306,-0.5991115437097905,3111
dmw=14039,0,0.4957675589110043,-0.054952142125456294,-0.8729179981659493,4371
